nik;nadawca;telefon;odbiorca;tpp
33605132;PL35109022840000000144469090;48033605132;PL75114020040000698745632144;100002
33605030;PL62109022840000000144469089;48033605030;PL75114020040000698745632144;100005
33604939;PL89109022840000000144469088;48033604939;PL75114020040000698745632144;100004
33604633;PL73109022840000000144469085;48033604633;PL75114020040000698745632144;100005
33604837;PL19109022840000000144469087;48033604837;PL75114020040000698745632144;100006
33603624;PL52109022840000000144469075;48033603624;PL75114020040000698745632144;100002
33603828;PL95109022840000000144469077;48033603828;PL75114020040000698745632144;100005
33603318;PL36109022840000000144469072;48033603318;PL75114020040000698745632144;100004
33603420;PL09109022840000000144469073;48033603420;PL75114020040000698745632144;100005
33603216;PL63109022840000000144469071;48033603216;PL75114020040000698745632144;100006
33603522;PL79109022840000000144469074;48033603522;PL75114020040000698745632144;100002
33603114;PL90109022840000000144469070;48033603114;PL75114020040000698745632144;100005
33603012;PL20109022840000000144469069;48033603012;PL75114020040000698745632144;100004
33602819;PL31109022840000000144469065;48033602819;PL75114020040000698745632144;100005
33602717;PL58109022840000000144469064;48033602717;PL75114020040000698745632144;100006
33602615;PL85109022840000000144469063;48033602615;PL75114020040000698745632144;100002
33602513;PL15109022840000000144469062;48033602513;PL75114020040000698745632144;100005
33602411;PL42109022840000000144469061;48033602411;PL75114020040000698745632144;100004
33602207;PL69109022840000000144469060;48033602207;PL75114020040000698745632144;100005
33602105;PL96109022840000000144469059;48033602105;PL75114020040000698745632144;100006
33602003;PL53109022840000000144469057;48033602003;PL75114020040000698745632144;100002
33601810;PL80109022840000000144469056;48033601810;PL75114020040000698745632144;100005
33601708;PL10109022840000000144469055;48033601708;PL75114020040000698745632144;100004
33601504;PL64109022840000000144469053;48033601504;PL75114020040000698745632144;100005
33601606;PL37109022840000000144469054;48033601606;PL75114020040000698745632144;100006
33601196;PL48109022840000000144469050;48033601196;PL75114020040000698745632144;100002
33600801;PL59109022840000000144469046;48033600801;PL75114020040000698745632144;100005
33600595;PL70109022840000000144469042;48033600595;PL75114020040000698745632144;100004
33601094;PL05109022840000000144469048;48033601094;PL75114020040000698745632144;100005
33600391;PL27109022840000000144469040;48033600391;PL75114020040000698745632144;100006
33600903;PL32109022840000000144469047;48033600903;PL75114020040000698745632144;100002
33600697;PL43109022840000000144469043;48033600697;PL75114020040000698745632144;100005
33599942;PL38109022840000000144469036;48033599942;PL75114020040000698745632144;100004
33599738;PL22109022840000000144469033;48033599738;PL75114020040000698745632144;100005
33600085;PL11109022840000000144469037;48033600085;PL75114020040000698745632144;100006
33599432;PL06109022840000000144469030;48033599432;PL75114020040000698745632144;100002
33599840;PL65109022840000000144469035;48033599840;PL75114020040000698745632144;100005
33599330;PL33109022840000000144469029;48033599330;PL75114020040000698745632144;100004
33599024;PL17109022840000000144469026;48033599024;PL75114020040000698745632144;100005
33599534;PL76109022840000000144469031;48033599534;PL75114020040000698745632144;100006
33599228;PL60109022840000000144469028;48033599228;PL75114020040000698745632144;100002
33599126;PL87109022840000000144469027;48033599126;PL75114020040000698745632144;100005
33598933;PL71109022840000000144469024;48033598933;PL75114020040000698745632144;100004
33598627;PL82109022840000000144469020;48033598627;PL75114020040000698745632144;100005
33598729;PL55109022840000000144469021;48033598729;PL75114020040000698745632144;100006
33598831;PL28109022840000000144469022;48033598831;PL75114020040000698745632144;100002
33598423;PL39109022840000000144469018;48033598423;PL75114020040000698745632144;100005
33597822;PL34109022840000000144469011;48033597822;PL75114020040000698745632144;100004
33598321;PL66109022840000000144469017;48033598321;PL75114020040000698745632144;100005
33597720;PL61109022840000000144469010;48033597720;PL75114020040000698745632144;100006
33598015;PL77109022840000000144469013;48033598015;PL75114020040000698745632144;100002
33597414;PL45109022840000000144469007;48033597414;PL75114020040000698745632144;100005
33597924;PL07109022840000000144469012;48033597924;PL75114020040000698745632144;100004
33597312;PL72109022840000000144469006;48033597312;PL75114020040000698745632144;100005
33597618;PL88109022840000000144469009;48033597618;PL75114020040000698745632144;100006
33597006;PL83109022840000000144469002;48033597006;PL75114020040000698745632144;100002
33597108;PL29109022840000000144469004;48033597108;PL75114020040000698745632144;100005
33596813;PL40109022840000000144469000;48033596813;PL75114020040000698745632144;100004
33596915;PL13109022840000000144469001;48033596915;PL75114020040000698745632144;100005
33596609;PL24109022840000000144468997;48033596609;PL75114020040000698745632144;100006
33596405;PL78109022840000000144468995;48033596405;PL75114020040000698745632144;100002
33596201;PL35109022840000000144468993;48033596201;PL75114020040000698745632144;100005
33596199;PL62109022840000000144468992;48033596199;PL75114020040000698745632144;100004
33596097;PL89109022840000000144468991;48033596097;PL75114020040000698745632144;100005
33595906;PL19109022840000000144468990;48033595906;PL75114020040000698745632144;100006
33595702;PL73109022840000000144468988;48033595702;PL75114020040000698745632144;100002
33595598;PL03109022840000000144468987;48033595598;PL75114020040000698745632144;100005
33595496;PL57109022840000000144468985;48033595496;PL75114020040000698745632144;100004
33595600;PL30109022840000000144468986;48033595600;PL75114020040000698745632144;100005
33595394;PL14109022840000000144468983;48033595394;PL75114020040000698745632144;100006
33595190;PL68109022840000000144468981;48033595190;PL75114020040000698745632144;100002
33595292;PL41109022840000000144468982;48033595292;PL75114020040000698745632144;100005
33595088;PL95109022840000000144468980;48033595088;PL75114020040000698745632144;100004
33594997;PL52109022840000000144468978;48033594997;PL75114020040000698745632144;100005
33594895;PL79109022840000000144468977;48033594895;PL75114020040000698745632144;100006
33594793;PL09109022840000000144468976;48033594793;PL75114020040000698745632144;100002
33594589;PL90109022840000000144468973;48033594589;PL75114020040000698745632144;100005
33594385;PL47109022840000000144468971;48033594385;PL75114020040000698745632144;100004
33594283;PL74109022840000000144468970;48033594283;PL75114020040000698745632144;100005
33593988;PL58109022840000000144468967;48033593988;PL75114020040000698745632144;100006
33594181;PL04109022840000000144468969;48033594181;PL75114020040000698745632144;100002
33593886;PL85109022840000000144468966;48033593886;PL75114020040000698745632144;100005
33594079;PL31109022840000000144468968;48033594079;PL75114020040000698745632144;100004
33593580;PL96109022840000000144468962;48033593580;PL75114020040000698745632144;100005
33593478;PL26109022840000000144468961;48033593478;PL75114020040000698745632144;100006
33593784;PL42109022840000000144468964;48033593784;PL75114020040000698745632144;100002
33593682;PL69109022840000000144468963;48033593682;PL75114020040000698745632144;100005
33593172;PL37109022840000000144468957;48033593172;PL75114020040000698745632144;100004
33593274;PL10109022840000000144468958;48033593274;PL75114020040000698745632144;100005
33593070;PL64109022840000000144468956;48033593070;PL75114020040000698745632144;100006
33592877;PL48109022840000000144468953;48033592877;PL75114020040000698745632144;100002
33592775;PL75109022840000000144468952;48033592775;PL75114020040000698745632144;100005
33592571;PL32109022840000000144468950;48033592571;PL75114020040000698745632144;100004
33592673;PL05109022840000000144468951;48033592673;PL75114020040000698745632144;100005
33592469;PL59109022840000000144468949;48033592469;PL75114020040000698745632144;100006
33592163;PL43109022840000000144468946;48033592163;PL75114020040000698745632144;100002
33592265;PL16109022840000000144468947;48033592265;PL75114020040000698745632144;100005
33591970;PL97109022840000000144468944;48033591970;PL75114020040000698745632144;100004
33591868;PL27109022840000000144468943;48033591868;PL75114020040000698745632144;100005
33591766;PL54109022840000000144468942;48033591766;PL75114020040000698745632144;100006
33591664;PL81109022840000000144468941;48033591664;PL75114020040000698745632144;100002
33591460;PL65109022840000000144468938;48033591460;PL75114020040000698745632144;100005
33591358;PL92109022840000000144468937;48033591358;PL75114020040000698745632144;100004
33591256;PL22109022840000000144468936;48033591256;PL75114020040000698745632144;100005
33591052;PL76109022840000000144468934;48033591052;PL75114020040000698745632144;100006
33590961;PL06109022840000000144468933;48033590961;PL75114020040000698745632144;100002
33590859;PL33109022840000000144468932;48033590859;PL75114020040000698745632144;100005
33590655;PL87109022840000000144468930;48033590655;PL75114020040000698745632144;100004
33590757;PL60109022840000000144468931;48033590757;PL75114020040000698745632144;100005
33590451;PL44109022840000000144468928;48033590451;PL75114020040000698745632144;100006
33590247;PL28109022840000000144468925;48033590247;PL75114020040000698745632144;100002
33590553;PL17109022840000000144468929;48033590553;PL75114020040000698745632144;100005
33590145;PL98109022840000000144468926;48033590145;PL75114020040000698745632144;100004
33589935;PL82109022840000000144468923;48033589935;PL75114020040000698745632144;100005
33589731;PL39109022840000000144468921;48033589731;PL75114020040000698745632144;100006
33589425;PL23109022840000000144468918;48033589425;PL75114020040000698745632144;100002
33589323;PL50109022840000000144468917;48033589323;PL75114020040000698745632144;100005
33589221;PL77109022840000000144468916;48033589221;PL75114020040000698745632144;100004
33589119;PL07109022840000000144468915;48033589119;PL75114020040000698745632144;100005
33588926;PL61109022840000000144468913;48033588926;PL75114020040000698745632144;100006
33588824;PL88109022840000000144468912;48033588824;PL75114020040000698745632144;100002
33588620;PL45109022840000000144468910;48033588620;PL75114020040000698745632144;100005
33588722;PL18109022840000000144468911;48033588722;PL75114020040000698745632144;100004
33588518;PL72109022840000000144468909;48033588518;PL75114020040000698745632144;100005
33588314;PL29109022840000000144468907;48033588314;PL75114020040000698745632144;100006
33588110;PL83109022840000000144468905;48033588110;PL75114020040000698745632144;100002
33588212;PL56109022840000000144468906;48033588212;PL75114020040000698745632144;100005
33588008;PL13109022840000000144468904;48033588008;PL75114020040000698745632144;100004
33587917;PL40109022840000000144468903;48033587917;PL75114020040000698745632144;100005
33587815;PL67109022840000000144468902;48033587815;PL75114020040000698745632144;100006
33587713;PL94109022840000000144468901;48033587713;PL75114020040000698745632144;100002
33587305;PL08109022840000000144468897;48033587305;PL75114020040000698745632144;100005
33587407;PL78109022840000000144468898;48033587407;PL75114020040000698745632144;100004
33587101;PL62109022840000000144468895;48033587101;PL75114020040000698745632144;100005
33587203;PL35109022840000000144468896;48033587203;PL75114020040000698745632144;100006
33586908;PL19109022840000000144468893;48033586908;PL75114020040000698745632144;100002
33587099;PL89109022840000000144468894;48033587099;PL75114020040000698745632144;100005
33586704;PL73109022840000000144468891;48033586704;PL75114020040000698745632144;100004
33586806;PL46109022840000000144468892;48033586806;PL75114020040000698745632144;100005
33586602;PL03109022840000000144468890;48033586602;PL75114020040000698745632144;100006
33586498;PL57109022840000000144468888;48033586498;PL75114020040000698745632144;100002
33586192;PL41109022840000000144468885;48033586192;PL75114020040000698745632144;100005
33586294;PL14109022840000000144468886;48033586294;PL75114020040000698745632144;100004
33585897;PL25109022840000000144468882;48033585897;PL75114020040000698745632144;100005
33586090;PL68109022840000000144468884;48033586090;PL75114020040000698745632144;100006
33585999;PL95109022840000000144468883;48033585999;PL75114020040000698745632144;100002
33585795;PL52109022840000000144468881;48033585795;PL75114020040000698745632144;100005
33585693;PL79109022840000000144468880;48033585693;PL75114020040000698745632144;100004
33585489;PL36109022840000000144468878;48033585489;PL75114020040000698745632144;100005
33585591;PL09109022840000000144468879;48033585591;PL75114020040000698745632144;100006
33585387;PL63109022840000000144468877;48033585387;PL75114020040000698745632144;100002
33585183;PL20109022840000000144468875;48033585183;PL75114020040000698745632144;100005
33584990;PL74109022840000000144468873;48033584990;PL75114020040000698745632144;100004
33585081;PL47109022840000000144468874;48033585081;PL75114020040000698745632144;100005
33584888;PL04109022840000000144468872;48033584888;PL75114020040000698745632144;100006
33584684;PL58109022840000000144468870;48033584684;PL75114020040000698745632144;100002
33584786;PL31109022840000000144468871;48033584786;PL75114020040000698745632144;100005
33584480;PL15109022840000000144468868;48033584480;PL75114020040000698745632144;100004
33584378;PL42109022840000000144468867;48033584378;PL75114020040000698745632144;100005
33584276;PL69109022840000000144468866;48033584276;PL75114020040000698745632144;100006
33584174;PL96109022840000000144468865;48033584174;PL75114020040000698745632144;100002
33584072;PL26109022840000000144468864;48033584072;PL75114020040000698745632144;100005
33583879;PL80109022840000000144468862;48033583879;PL75114020040000698745632144;100004
33583981;PL53109022840000000144468863;48033583981;PL75114020040000698745632144;100005
33583777;PL10109022840000000144468861;48033583777;PL75114020040000698745632144;100006
